contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	early	12978
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	election-day	8678
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	provisional	96
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	absentee-mail	30
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	early	551
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	election-day	608
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	provisional	1
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	absentee-mail	21
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	early	506
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	election-day	374
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	provisional	1
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	absentee-mail	113
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	early	6199
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	election-day	2887
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	provisional	53
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	absentee-mail	144
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	early	1274
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	election-day	866
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	provisional	6
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Guilford County	absentee-mail	2916
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Guilford County	early	57151
