Table	Name	ExternalIdentifierType	ExternalIdentifierValue
Office	North Carolina;General Assembly Senate District 14	nc_general	NC STATE SENATE DISTRICT 14
Office	North Carolina;General Assembly Senate District 15	nc_general	NC STATE SENATE DISTRICT 15
Office	North Carolina;General Assembly Senate District 16	nc_general	NC STATE SENATE DISTRICT 16
Office	North Carolina;General Assembly Senate District 17	nc_general	NC STATE SENATE DISTRICT 17
Office	North Carolina;General Assembly Senate District 18	nc_general	NC STATE SENATE DISTRICT 18
Office	North Carolina;General Assembly Senate District 19	nc_general	NC STATE SENATE DISTRICT 19
Office	North Carolina;General Assembly Senate District 20	nc_general	NC STATE SENATE DISTRICT 20
Office	North Carolina;General Assembly Senate District 21	nc_general	NC STATE SENATE DISTRICT 21
Office	North Carolina;General Assembly Senate District 22	nc_general	NC STATE SENATE DISTRICT 22
Office	North Carolina;General Assembly Senate District 23	nc_general	NC STATE SENATE DISTRICT 23
Office	North Carolina;General Assembly Senate District 24	nc_general	NC STATE SENATE DISTRICT 24
Office	North Carolina;General Assembly Senate District 25	nc_general	NC STATE SENATE DISTRICT 25
Office	North Carolina;General Assembly Senate District 26	nc_general	NC STATE SENATE DISTRICT 26
Office	North Carolina;General Assembly Senate District 27	nc_general	NC STATE SENATE DISTRICT 27
Office	North Carolina;General Assembly Senate District 28	nc_general	NC STATE SENATE DISTRICT 28
Office	North Carolina;General Assembly Senate District 29	nc_general	NC STATE SENATE DISTRICT 29
Office	North Carolina;General Assembly Senate District 30	nc_general	NC STATE SENATE DISTRICT 30
Office	North Carolina;General Assembly Senate District 31	nc_general	NC STATE SENATE DISTRICT 31
ReportingUnit	North Carolina;Burke County	nc_general	BURKE
Office	North Carolina;General Assembly Senate District 32	nc_general	NC STATE SENATE DISTRICT 32
Office	North Carolina;General Assembly Senate District 33	nc_general	NC STATE SENATE DISTRICT 33
Office	North Carolina;General Assembly Senate District 34	nc_general	NC STATE SENATE DISTRICT 34
Office	North Carolina;General Assembly Senate District 35	nc_general	NC STATE SENATE DISTRICT 35
Office	North Carolina;General Assembly Senate District 36	nc_general	NC STATE SENATE DISTRICT 36
Office	North Carolina;General Assembly Senate District 37	nc_general	NC STATE SENATE DISTRICT 37
Office	North Carolina;General Assembly Senate District 38	nc_general	NC STATE SENATE DISTRICT 38
Office	North Carolina;General Assembly Senate District 39	nc_general	NC STATE SENATE DISTRICT 39
Office	North Carolina;General Assembly Senate District 40	nc_general	NC STATE SENATE DISTRICT 40
Office	North Carolina;General Assembly Senate District 41	nc_general	NC STATE SENATE DISTRICT 41
Office	North Carolina;General Assembly Senate District 42	nc_general	NC STATE SENATE DISTRICT 42
Office	North Carolina;General Assembly Senate District 43	nc_general	NC STATE SENATE DISTRICT 43
Office	North Carolina;General Assembly Senate District 44	nc_general	NC STATE SENATE DISTRICT 44
Office	North Carolina;General Assembly Senate District 45	nc_general	NC STATE SENATE DISTRICT 45
Office	North Carolina;General Assembly Senate District 46	nc_general	NC STATE SENATE DISTRICT 46
Office	North Carolina;General Assembly Senate District 47	nc_general	NC STATE SENATE DISTRICT 47
