Table	Name	ExternalIdentifierValue
CandidateContest	Florida;General Assembly House of Representatives District 15	State Representative Juris1num 015 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 16	State Representative Juris1num 016 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 17	State Representative Juris1num 017 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 18	State Representative Juris1num 018 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 19	State Representative Juris1num 019 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 20	State Representative Juris1num 020 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 21	State Representative Juris1num 021 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 22	State Representative Juris1num 022 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 23	State Representative Juris1num 023 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 24	State Representative Juris1num 024 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 25	State Representative Juris1num 025 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 26	State Representative Juris1num 026 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 27	State Representative Juris1num 027 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 28	State Representative Juris1num 028 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 29	State Representative Juris1num 029 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 30	State Representative Juris1num 030 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 31	State Representative Juris1num 031 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 32	State Representative Juris1num 032 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 33	State Representative Juris1num 033 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 34	State Representative Juris1num 034 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 35	State Representative Juris1num 035 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 36	State Representative Juris1num 036 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 37	State Representative Juris1num 037 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 38	State Representative Juris1num 038 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 39	State Representative Juris1num 039 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 40	State Representative Juris1num 040 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 41	State Representative Juris1num 041 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 42	State Representative Juris1num 042 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 43	State Representative Juris1num 043 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 44	State Representative Juris1num 044 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 45	State Representative Juris1num 045 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 46	State Representative Juris1num 046 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 47	State Representative Juris1num 047 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 48	State Representative Juris1num 048 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 49	State Representative Juris1num 049 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 50	State Representative Juris1num 050 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 51	State Representative Juris1num 051 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 52	State Representative Juris1num 052 Juris2num 
