	Name	ReportingUnitType
397	North Carolina;Brunswick County;13	precinct
398	North Carolina;Brunswick County;18	precinct
399	North Carolina;Brunswick County;03	precinct
400	North Carolina;Brunswick County;22	precinct
401	North Carolina;Brunswick County;05	precinct
402	North Carolina;Brunswick County;02	precinct
403	North Carolina;Brunswick County;08	precinct
404	North Carolina;Brunswick County;11	precinct
405	North Carolina;Brunswick County;04C1	precinct
406	North Carolina;Brunswick County;20	precinct
407	North Carolina;Brunswick County;01	precinct
408	North Carolina;Brunswick County;19	precinct
409	North Carolina;Brunswick County;16	precinct
410	North Carolina;Brunswick County;04A	precinct
411	North Carolina;Brunswick County;14	precinct
412	North Carolina;Brunswick County;PROVISIONAL	provisional
413	North Carolina;Brunswick County;04B1	precinct
414	North Carolina;Brunswick County;07	precinct
415	North Carolina;Brunswick County;12	precinct
416	North Carolina;Brunswick County;15	precinct
417	North Carolina;Brunswick County;10A	precinct
418	North Carolina;Brunswick County;23	precinct
419	North Carolina;Brunswick County;ABSENTEE MAIL	absentee
420	North Carolina;Brunswick County;17	precinct
421	North Carolina;Brunswick County;10B	precinct
422	North Carolina;Buncombe County;44.1	precinct
423	North Carolina;Buncombe County;01.1	precinct
424	North Carolina;Buncombe County;16.2	precinct
425	North Carolina;Buncombe County;06.1	precinct
426	North Carolina;Buncombe County;09.1	precinct
427	North Carolina;Buncombe County;38.3	precinct
428	North Carolina;Buncombe County;43.2	precinct
429	North Carolina;Buncombe County;56.2	precinct
430	North Carolina;Buncombe County;60.4	precinct
431	North Carolina;Buncombe County;02.1	precinct
432	North Carolina;Buncombe County;18.2	precinct
433	North Carolina;Buncombe County;30.3	precinct
434	North Carolina;Buncombe County;46.1	precinct
435	North Carolina;Buncombe County;53.1	precinct
436	North Carolina;Buncombe County;OS FVBL	vote-center
437	North Carolina;Buncombe County;OS MORC	vote-center
438	North Carolina;Buncombe County;12.1	precinct
439	North Carolina;Buncombe County;29.2	precinct
440	North Carolina;Buncombe County;55.1	precinct
441	North Carolina;Buncombe County;61.1	precinct
442	North Carolina;Buncombe County;ABSENTEE	absentee
443	North Carolina;Buncombe County;19.1	precinct
444	North Carolina;Buncombe County;23.3	precinct
445	North Carolina;Buncombe County;35.1	precinct
446	North Carolina;Buncombe County;48.1	precinct
447	North Carolina;Buncombe County;58.1	precinct
448	North Carolina;Buncombe County;68.1	precinct
449	North Carolina;Buncombe County;54.2	precinct
450	North Carolina;Buncombe County;57.1	precinct
451	North Carolina;Buncombe County;59.1	precinct
452	North Carolina;Buncombe County;07.1	precinct
453	North Carolina;Buncombe County;17.1	precinct
454	North Carolina;Buncombe County;20.1	precinct
455	North Carolina;Buncombe County;69.1	precinct
456	North Carolina;Buncombe County;OS WABL	vote-center
457	North Carolina;Buncombe County;03.1	precinct
458	North Carolina;Buncombe County;08.2	precinct
459	North Carolina;Buncombe County;10.1	precinct
460	North Carolina;Buncombe County;25.1	precinct
461	North Carolina;Buncombe County;27.2	precinct
