BallotName	Party
ROBERT GALE	Republican Party
ROBERT M. ALWAY	Green Party
ROBERT MURPHY	Democratic Party
ROBERT VANNOLLER	Libertarian Party
ROBERT WITTENBERG	Democratic Party
ROBIN LEA LAURAIN	Green Party
ROBIN LEE SANDERS	No Party Affiliation
RODNEY WAKEMAN	Republican Party
ROGER HAUCK	Republican Party
ROGER VICTORY	Republican Party
RON DRAAYER	Democratic Party
RONALD A. MUSZYNSKI	Libertarian Party
RONALD E. GRAESER	Republican Party
RONALD HAWKINS	Libertarian Party
RONNIE D. PETERSON	Democratic Party
ROSALINDA HERNANDEZ	Republican Party
ROSEMARY BAYER	Democratic Party
ROYCE KINNIEBREW	No Party Affiliation
RUTH JOHNSON	Republican Party
RYAN BERMAN	Republican Party
RYAN MANIER	Libertarian Party
SAM JOHNSON	Republican Party
SAMUEL BAGENSTOS	No Party Affiliation
SANDY CLARKE	Democratic Party
SARA CAMBENSY	Democratic Party
SARAH ANTHONY	Democratic Party
SARAH LIGHTNER	Republican Party
SARAH SCHULZ	Democratic Party
SCOTT A. VANSINGEL	Republican Party
SCOTT DIANDA	Democratic Party
SCOTTY BOMAN	Libertarian Party
SEAN MCCANN	Democratic Party
SHANE HERNANDEZ	Republican Party
SHAWN MARIE WINTERS	Democratic Party
SHEILA TROXEL	Democratic Party
SHELDON A. NEELEY	Democratic Party
SHERRY A. WELLS	Green Party
SHERRY GAY DAGNOGO	Democratic Party
SHERYL Y. KENNEDY	Democratic Party
STEFANIE BROWN	Democratic Party
STEPHANIE CHANG	Democratic Party
STEPHEN J. YOUNG	Republican Party
STEPHEN L. BORRELLO	No Party Affiliation
STEVE MARINO	Republican Party
STEVEN JOHNSON	Republican Party
SUE ALLOR	Republican Party
SUE NORMAN	No Party Affiliation
SUSAN KAY KOWALSKI	Republican Party
SYLVIA SANTANA	Democratic Party
TAMARA C. BARNES	Democratic Party
TAMI CARLONE	Republican Party
TANYA CABALA	Democratic Party
TED GERRARD	Republican Party
TENISHA YANCEY	Democratic Party
TERESA SPIEGELBERG	No Party Affiliation
TERI AIUTO	Republican Party
TERRI MCKINNON	Democratic Party
TERRY J. SABO	Democratic Party
THEODORE ALFONSETTI III	Republican Party
THOMAS A. ALBERT	Republican Party
THOMAS REPASKY	Republican Party
TIFFANY TILLEY	Democratic Party
TIM ORZECHOWSKI	Libertarian Party
TIM SCHAIBERGER	Democratic Party
TIM SNELLER	Democratic Party
TIM WALBERG	Republican Party
TIM YOW	No Party Affiliation
TIMOTHY COON	Libertarian Party
TIMOTHY D. CARRIER	Republican Party
TIMOTHY JOE PRANTLE	No Party Affiliation
TODD SCHLEIGER	Republican Party
TOM BAGWELL	No Party Affiliation
TOM BARRETT	Republican Party
TOM LEONARD	Republican Party
TOMMY BRANN	Republican Party
TRACE FISHER	Republican Party
TRAVIS WINES	Republican Party
TRISTON COLE	Republican Party
TYLER PALMER	Libertarian Party
TYRONE CARTER	Democratic Party
VAL COCHRAN TOOPS	Democratic Party
VALERIE L. WILLIS	No Party Affiliation
VALERIE R. PARKER	Republican Party
VANESSA GUERRA	Democratic Party
WADE PAUL ROBERTS	Green Party
WAYNE SCHMIDT	Republican Party
WENDELL L. BYRD	Democratic Party
WILLIAM BAKER	Republican Party
WILLIAM BRANG	Republican Party
WILLIAM COBBS	No Party Affiliation
WILLIAM F. WHITE	No Party Affiliation
WILLIAM J. SOWERBY	Democratic Party
WILLIAM SHOOP	Democratic Party
WINNIE BRINKS	Democratic Party
YOLANDA JAMES	No Party Affiliation
YOUSEF RABHI	Democratic Party
ZACHARY MOREAU	Libertarian Party
BRENDA JONES	No Party Affiliation
AL GUI	Republican Party
DANIEL ALLEN SCHUTTE	Republican Party
DAVID BULLOCK	Green Party
JORDAN ACKER	Democratic Party
MARC S. HERSCHFUS	Republican Party
